sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species_numeric
5.78,2.93,4.8,1.78,2
6.6,2.79,4.69,1.28,2
6.19,3.2,4.16,1.57,1
6.07,3.38,3.57,0.72,0
6.33,3.5,2.68,0.37,0
5.92,2.6,4.81,1.58,2
5.28,4.37,1.0,0.1,0
6.13,2.51,5.09,1.74,2
5.99,2.43,4.62,1.59,2
5.79,2.43,5.76,2.0,2
6.93,2.54,6.17,2.34,2
5.56,3.95,2.09,0.25,0
5.69,2.48,5.24,2.05,2
6.07,2.38,4.35,1.46,1
4.88,4.36,1.03,0.1,0
6.0,4.37,1.05,0.1,0
5.72,3.11,3.93,1.07,1
6.42,3.58,2.65,0.36,0
5.8,4.18,1.52,0.15,0
6.41,2.68,5.66,2.16,2
6.16,3.31,2.07,0.44,0
6.09,2.62,4.47,1.87,2
6.72,3.81,2.57,0.34,0
6.93,3.61,4.75,1.38,1
6.11,2.89,3.87,1.26,1
5.93,3.37,3.53,0.72,0
4.99,4.15,1.07,0.11,0
6.42,2.34,5.18,2.12,2
6.48,2.58,6.12,2.33,2
5.68,2.82,3.56,0.58,1
6.12,4.21,1.29,0.13,0
5.0,4.32,1.04,0.1,0
6.97,2.62,2.68,0.79,0
6.1,2.36,4.88,1.28,1
5.79,2.62,5.3,1.9,2
4.95,4.38,1.02,0.1,0
5.93,2.53,5.43,2.1,2
6.32,3.24,4.45,0.66,1
5.66,2.4,5.32,1.63,2
6.39,2.59,3.33,1.05,1
6.08,2.71,4.64,2.17,2
5.58,2.21,6.26,2.18,2
6.59,2.96,4.57,1.06,1
5.98,3.11,2.89,0.63,0
6.01,3.82,1.76,0.28,0
6.21,2.8,5.59,2.25,2
5.65,3.03,2.98,0.66,0
5.3,4.39,1.0,0.1,0
5.37,4.28,1.12,0.13,0
6.42,2.98,4.4,1.47,2
6.79,2.34,5.54,2.38,2
5.38,2.97,2.31,0.41,0
6.31,4.22,1.71,0.26,0
6.12,2.64,4.53,1.88,2
6.24,2.26,5.4,1.7,2
5.45,2.4,4.81,1.12,2
6.18,2.59,5.58,2.1,2
5.9,2.77,3.89,0.46,0
6.09,2.7,3.92,1.07,1
5.95,3.51,2.86,0.5,0
6.84,2.63,5.41,2.27,2
5.85,2.58,5.16,1.83,2
5.56,3.83,1.33,0.15,0
6.11,2.37,5.03,1.81,2
5.54,2.56,5.07,1.11,1
5.42,3.77,1.92,0.36,0
5.7,2.49,4.57,1.06,1
5.89,4.29,1.07,0.11,0
6.07,3.54,2.01,0.78,0
5.66,3.77,1.56,0.3,0
6.12,4.26,1.12,0.11,0
5.65,3.43,2.34,0.28,0
5.84,2.37,5.99,2.17,2
6.01,3.4,1.69,0.21,0
5.71,2.46,5.94,2.1,2
6.02,2.39,5.31,1.93,2
5.93,3.64,2.27,0.43,0
6.07,2.48,4.48,1.56,1
6.28,3.06,2.32,1.11,0
6.57,2.4,5.2,2.0,2
6.74,2.68,5.44,1.06,1
5.52,4.39,1.01,0.1,0
5.65,2.79,4.08,1.21,1
5.25,3.07,3.28,0.76,0
5.62,3.31,2.31,0.42,0
6.87,2.94,4.63,1.68,2
5.98,3.74,2.79,0.6,0
6.33,2.58,5.63,1.92,2
6.5,2.77,4.8,1.47,2
5.89,2.67,3.68,1.24,0
6.14,3.23,4.12,1.14,0
5.89,2.54,6.07,2.31,2
5.46,4.22,1.42,0.13,0
6.19,2.46,5.59,1.63,2
5.46,3.25,1.99,0.26,0
6.48,2.95,4.92,1.52,1
5.61,4.12,1.6,0.28,0
5.67,3.11,2.71,0.46,0
5.67,2.21,5.61,1.81,2
6.31,2.58,4.39,2.09,2
